Date,Close/Last,Open,High,Low
09/30/2022,1920.56,1903.46,1922.83,1896.45
09/29/2022,1887.39,1887.39,1916.25,1879.88
09/28/2022,1930.30,1930.30,1931.26,1875.32
09/27/2022,1914.52,1914.52,1928.04,1908.08
09/26/2022,1902.38,1902.38,1916.14,1895.81
09/23/2022,1906.97,1895.92,1935.14,1879.53
09/22/2022,1930.95,1930.95,1966.15,1930.10
09/21/2022,1976.64,1976.64,1979.09,1940.89
09/20/2022,1952.11,1952.11,2000.27,1950.33
09/19/2022,1981.64,1981.64,1993.52,1963.94
09/16/2022,1996.32,2001.12,2021.78,1996.32
09/15/2022,2040.04,2040.04,2068.18,2037.25
09/14/2022,2060.94,2060.94,2085.99,2052.54
09/13/2022,2082.43,2082.43,2137.58,2082.43
09/12/2022,2123.65,2123.65,2128.09,2092.16
09/09/2022,2088.42,2086.94,2094.08,2059.32
09/08/2022,2053.62,2053.62,2056.26,2020.21
09/07/2022,2032.88,2032.88,2038.59,2012.02
09/06/2022,2036.11,2036.11,2058.21,2018.07
09/02/2022,2039.14,2011.72,2042.17,2010.50
09/01/2022,2008.92,2008.92,2052.98,2008.92
08/31/2022,2067.77,2067.77,2086.32,2062.99
08/30/2022,2078.11,2078.11,2109.25,2073.74
08/29/2022,2081.78,2081.78,2092.51,2070.52
08/26/2022,2117.13,2138.96,2158.03,2116.14
08/25/2022,2150.48,2150.48,2155.26,2135.38
08/24/2022,2136.02,2136.02,2145.50,2100.74
08/23/2022,2119.04,2119.04,2129.92,2113.25
08/22/2022,2126.67,2126.67,2144.46,2106.18
08/19/2022,2142.97,2156.97,2161.23,2142.97
08/18/2022,2147.83,2147.83,2158.31,2136.76
08/17/2022,2147.39,2147.39,2173.50,2144.21
08/16/2022,2163.87,2163.87,2172.20,2156.87
08/15/2022,2158.69,2158.69,2171.52,2151.14
08/12/2022,2151.19,2164.90,2184.23,2151.19
08/11/2022,2178.68,2178.68,2185.97,2167.54
08/10/2022,2170.20,2170.20,2170.61,2115.69
08/09/2022,2125.94,2125.94,2146.30,2117.86
08/08/2022,2141.11,2141.11,2153.02,2131.37
08/05/2022,2133.74,2142.93,2171.54,2133.61
08/04/2022,2170.14,2170.14,2173.90,2141.27
08/03/2022,2145.15,2145.15,2184.30,2135.58
08/02/2022,2178.66,2178.66,2187.69,2171.00
08/01/2022,2194.94,2194.94,2210.25,2186.18
07/29/2022,2205.44,2199.77,2207.76,2174.90
07/28/2022,2169.96,2169.96,2169.96,2140.44
07/27/2022,2127.14,2127.14,2142.75,2119.16
07/26/2022,2130.92,2130.92,2140.05,2124.13
07/25/2022,2126.43,2126.43,2139.24,2125.43
07/22/2022,2136.43,2138.74,2143.04,2122.88
07/21/2022,2134.16,2134.16,2136.92,2106.17
07/20/2022,2109.31,2109.31,2130.41,2103.09
07/19/2022,2113.19,2113.19,2113.61,2063.88
07/18/2022,2093.17,2093.17,2099.14,2068.85
07/15/2022,2059.61,2040.87,2060.81,2028.37
07/14/2022,2031.23,2031.23,2048.06,2021.07
07/13/2022,2055.87,2055.87,2074.60,2034.46
07/12/2022,2079.71,2079.71,2079.71,2042.10
07/11/2022,2055.64,2055.64,2060.61,2037.81
07/08/2022,2066.23,2038.43,2066.84,2034.49
07/07/2022,2055.84,2055.84,2056.78,2028.01
07/06/2022,2020.39,2020.39,2025.25,1998.21
07/05/2022,1979.56,1979.56,2016.77,1966.14
07/01/2022,1998.41,2002.87,2012.75,1995.40
06/30/2022,1978.63,1978.63,1988.69,1956.96
06/29/2022,2009.37,2009.37,2013.03,1981.07
06/28/2022,2017.43,2017.43,2048.32,2014.52
06/27/2022,2035.59,2035.59,2039.48,2016.02
06/24/2022,1982.52,1981.30,1984.71,1960.53
06/23/2022,1955.85,1955.85,1976.08,1945.29
06/22/2022,1987.66,1987.66,1993.27,1965.94
06/21/2022,2003.31,2003.31,2019.64,1998.41
06/17/2022,1989.56,1964.51,1989.56,1958.13
06/16/2022,1949.76,1949.76,2010.59,1942.57
06/15/2022,2013.60,2013.60,2027.80,1993.58
06/14/2022,1991.70,1991.70,2048.04,1991.40
06/13/2022,2022.59,2022.59,2059.06,2016.99
06/10/2022,2074.41,2090.97,2111.57,2067.33
06/09/2022,2122.17,2122.17,2149.45,2121.76
06/08/2022,2158.36,2158.36,2175.44,2144.02
06/07/2022,2165.42,2165.42,2165.48,2145.77
06/06/2022,2146.26,2146.26,2149.15,2142.02
06/03/2022,2141.84,2151.18,2161.35,2141.15
06/02/2022,2137.81,2137.81,2141.43,2119.45
06/01/2022,2117.40,2117.40,2136.94,2107.76
05/31/2022,2125.65,2125.65,2143.55,2120.14
05/27/2022,2153.70,2135.11,2164.78,2135.11
05/26/2022,2064.25,2064.25,2067.34,2061.49
05/25/2022,2067.25,2067.25,2099.47,2065.11
05/24/2022,2077.30,2077.30,2098.69,2070.22
05/23/2022,2092.81,2092.81,2111.23,2082.35
05/20/2022,2080.89,2081.54,2091.27,2061.90
05/19/2022,2049.80,2049.80,2054.44,2022.57
05/18/2022,2074.53,2074.53,2111.97,2070.69
05/17/2022,2095.70,2095.70,2114.47,2075.66
05/16/2022,2062.59,2062.59,2083.29,2046.50
05/13/2022,2064.59,2059.20,2067.53,2039.05
05/12/2022,2032.85,2032.85,2035.09,1989.38
05/11/2022,2037.99,2037.99,2041.44,2005.61
05/10/2022,2016.29,2016.29,2042.28,2000.86
05/09/2022,1992.96,1992.96,2072.77,1992.92
05/06/2022,2077.92,2085.98,2110.09,2058.33
05/05/2022,2121.84,2121.84,2181.62,2119.92
05/04/2022,2137.90,2137.90,2165.18,2136.59
05/03/2022,2158.96,2158.96,2179.23,2150.54
05/02/2022,2152.47,2152.47,2189.53,2030.20
04/29/2022,2199.27,2205.21,2218.88,2169.19
04/28/2022,2156.24,2156.24,2194.03,2144.90
04/27/2022,2170.53,2170.53,2179.79,2122.29
04/26/2022,2134.10,2134.10,2192.65,2134.10
04/25/2022,2163.63,2163.63,2189.08,2152.46
04/22/2022,2203.85,2220.99,2225.25,2201.64
04/21/2022,2233.17,2233.17,2263.78,2232.83
04/20/2022,2247.21,2247.21,2254.87,2218.91
04/19/2022,2220.36,2220.36,2225.64,2187.53
04/18/2022,2218.80,2218.80,2221.10,2218.20
04/14/2022,2223.44,2223.44,2223.44,2218.85
04/13/2022,2222.78,2212.18,2225.84,2208.14
04/12/2022,2218.40,2218.40,2233.77,2201.93
04/11/2022,2232.37,2232.37,2268.26,2230.01
04/08/2022,2272.15,2263.90,2273.40,2252.22
04/07/2022,2244.20,2244.20,2254.09,2224.90
04/06/2022,2222.64,2222.64,2254.93,2206.74
04/05/2022,2253.69,2253.69,2260.45,2234.02
04/04/2022,2226.60,2226.60,2231.97,2205.78
04/01/2022,2219.23,2207.44,2220.62,2190.96
03/31/2022,2192.80,2192.80,2226.64,2192.15
03/30/2022,2216.10,2216.10,2216.50,2187.68
03/29/2022,2212.65,2212.65,2225.75,2191.28
03/28/2022,2169.47,2169.47,2178.42,2148.49
03/25/2022,2151.58,2179.28,2182.55,2148.14
03/24/2022,2175.03,2175.03,2208.27,2171.83
03/23/2022,2197.24,2197.24,2225.25,2184.39
03/22/2022,2218.80,2218.80,2225.34,2202.15
03/21/2022,2221.07,2221.07,2224.07,2204.84
03/18/2022,2219.18,2190.35,2219.18,2179.66
03/17/2022,2196.92,2196.92,2204.82,2181.50
03/16/2022,2175.64,2175.64,2180.72,2132.49
03/15/2022,2092.15,2092.15,2107.10,2057.76
03/14/2022,2112.40,2112.40,2131.55,2077.12
03/11/2022,2073.30,2083.61,2095.98,2045.60
03/10/2022,2050.83,2050.83,2066.97,2027.06
03/09/2022,2056.09,2056.09,2056.15,2009.74
03/08/2022,1992.17,1992.17,2041.31,1967.39
03/07/2022,1992.24,1992.24,2023.38,1928.78
03/04/2022,2001.54,1999.86,2049.05,1996.92
03/03/2022,2047.44,2047.44,2098.39,2044.33
03/02/2022,2080.89,2080.89,2088.35,2049.46
03/01/2022,2090.98,2090.98,2133.05,2073.20
